id;productnames;descriptions;startingbids;images;lister;created;category;patrimonio;idp;images2;images3
100;Notebook LENOVO 80R0;Fabricante: LENOVO | Modelo:   80R0 | N° série: PE01Y77P | Processador: Intel I7-5500u | RAM: 16GB | HD: 1TB | SSD: NONE | Placa de vídeo: AMD radeon R5 M230 | Observação: Dobradiça quebrada;250;https://www.lenovo.com/medias/lenovo-laptop-g50-front-2.jpg?context=bWFzdGVyfGltYWdlc3wxMjI2NDd8aW1hZ2UvanBlZ3xpbWFnZXMvaDEzL2g4Mi85NTAwODQyNzU0MDc4LmpwZ3xiZjc4ZmJmNDgwZDMzN2EwOTFhNzhiZTE1YmRhZThlMWNiOTNjNmQ1NWJhYjViYTYyNjA0MjE1NzRhOGU2MTA5;servicedesk;2023-06-06 11:00:00.425937;notebooks;4;PE01Y77P;https://www.lenovo.com/medias/laptop-lenovo-g50-left-open-view-main.png?context=bWFzdGVyfGltYWdlc3w4NjcxMnxpbWFnZS9wbmd8aW1hZ2VzL2gzMS9oMzAvOTUwMDg0MzQwOTQzOC5wbmd8YWY4ZjQ2OWQ2NmVlMDFlNjVkZTkwY2QyODk1ZjU5NDc1OWQ0NDY5N2ExMTk0ZTQ5NDcxN2U5YTEwOGY1Mjg5Mw;https://www.lenovo.com/medias/lenovo-laptop-g50-side-detail-9.jpg?context=bWFzdGVyfGltYWdlc3wxMDQ3NTB8aW1hZ2UvanBlZ3xpbWFnZXMvaDlmL2gyZi85NTAwODQzNTczMjc4LmpwZ3w2ODVlNWMyYWQzNDhlNTdlNTZlOTNmMWU1OWFkYzM3Zjg0ZmIwOTZjZTYzOGJiYTZkNmJhNjc5MTc1YzdmOTQ3
101;Notebook DELL Latitude 3490;Fabricante: DELL | Modelo:   Latitude 3490 | N° série: B3ZNSY2 | Processador: intel i3-8130U | RAM: 8GB | HD: NONE | SSD: 250GB | Placa de vídeo: intel® UHD Graphics 620 | Observação: TAMPA DESGASTADA | Sistema Operacional: Microsoft Windows 10 Pro;625;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_latitude_3490_core_i7_8550u_memoria_16gb_hd_500gb_tela_14_fhd_sistema_windows_10_pro_2465_1_c7c09622743d76f152344268d48936c6.jpg;servicedesk;2023-06-06 11:00:00.425937;notebooks;9;B3ZNSY2;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_latitude_3490_core_i7_8550u_memoria_16gb_hd_500gb_tela_14_fhd_sistema_windows_10_pro_2465_2_2d4c7182083f1ef671ebf4d2b82b2c85.jpg;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_latitude_3490_core_i7_8550u_memoria_16gb_hd_500gb_tela_14_fhd_sistema_windows_10_pro_2465_3_7bd19b3454d3490863bf1605dd713f8c.jpg
102;Notebook DELL Vostro 3583;Fabricante: DELL | Modelo:   Vostro 3583 | N° série: 88YCK03 | Processador: intel i5-8265U | RAM: 8GB | HD: NONE | SSD: 250GB | Placa de vídeo: intel® UHD Graphics 620 | Observação: | Sistema Operacional: Microsoft Windows 10 Pro;725;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_vostro_3583_core_i5_8265u_memoria_8gb_ddr4_ssd_256gb_tela_15_6_hd_sistema_windows_10_h_8253_1_595eca628b5907f80c802c10d7d46d0e.jpg;servicedesk;2023-06-06 11:00:00.425937;notebooks;12;88YCK03;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_vostro_3583_core_i5_8265u_memoria_8gb_ddr4_ssd_256gb_tela_15_6_hd_sistema_windows_10_h_8253_3_08f797c54796fdc2b874c9ff2208210f.jpg;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_vostro_3583_core_i5_8265u_memoria_8gb_ddr4_ssd_256gb_tela_15_6_hd_sistema_windows_10_h_8253_4_545ab38080c1b498fba795e39e13a2ff.jpg
103;Notebook DELL Inspiron 15 3567;Fabricante: DELL | Modelo:   Inspiron 15 3567 | N° série: H84PDQ2 | Processador: intel i3-6006U | RAM: 8GB | HD: NONE | SSD: 250GB | Placa de vídeo: intel® UHD Graphics 520 | Observação: | Sistema Operacional: Microsoft Windows 10 Pro;625;https://www.romapy.com/53346-large_default/notebook-dell-insp-15-3567-i3-204g1trw156w10-spa-promo-19mjh.jpg;servicedesk;2023-06-06 11:00:00.425937;notebooks;13;H84PDQ2;https://www.romapy.com/53345-large_default/notebook-dell-insp-15-3567-i3-204g1trw156w10-spa-promo-19mjh.jpg;https://d30u9wim1barf6.cloudfront.net/Custom/Content/Products/98/81/988189_notebook-dell-inspiron-3567-15-6-hd-i5-7200u-1tb-4gb-win10-h-pretonac004714_z2_637188557161023240.jpg
104;Notebook DELL Latitude 3490;Fabricante: DELL | Modelo:   Latitude 3490 | N° série: B42MSY2 | Processador: intel i3-8130U | RAM: 8GB | HD: 1TB | SSD: NONE | Placa de vídeo: Intel UHD Graphics 620 | Observação: TAMPA DESGASTADA, | Sistema Operacional: Microsoft Windows 10 Pro;625;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_latitude_3490_core_i7_8550u_memoria_16gb_hd_500gb_tela_14_fhd_sistema_windows_10_pro_2465_1_c7c09622743d76f152344268d48936c6.jpg;servicedesk;2023-06-06 11:00:00.425937;notebooks;44;B42MSY2;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_latitude_3490_core_i7_8550u_memoria_16gb_hd_500gb_tela_14_fhd_sistema_windows_10_pro_2465_2_2d4c7182083f1ef671ebf4d2b82b2c85.jpg;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_latitude_3490_core_i7_8550u_memoria_16gb_hd_500gb_tela_14_fhd_sistema_windows_10_pro_2465_3_7bd19b3454d3490863bf1605dd713f8c.jpg
105;Notebook DELL Latitude 3490;Fabricante: DELL | Modelo:   Latitude 3490 | N° série: B40NSY2 | Processador: intel i3-8130U | RAM: 8GB | HD: NONE | SSD: 250GB | Placa de vídeo: Intel UHD Graphics 620 | Observação: TAMPA DESGASTADA, | Sistema Operacional: Microsoft Windows 10 Pro;625;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_latitude_3490_core_i7_8550u_memoria_16gb_hd_500gb_tela_14_fhd_sistema_windows_10_pro_2465_1_c7c09622743d76f152344268d48936c6.jpg;servicedesk;2023-06-06 11:00:00.425937;notebooks;45;B40NSY2;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_latitude_3490_core_i7_8550u_memoria_16gb_hd_500gb_tela_14_fhd_sistema_windows_10_pro_2465_2_2d4c7182083f1ef671ebf4d2b82b2c85.jpg;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_latitude_3490_core_i7_8550u_memoria_16gb_hd_500gb_tela_14_fhd_sistema_windows_10_pro_2465_3_7bd19b3454d3490863bf1605dd713f8c.jpg
106;Notebook DELL Latitude 3490;Fabricante: DELL | Modelo:   Latitude 3490 | N° série: B41KSY2 | Processador: intel i3-8130U | RAM: 8GB | HD: NONE | SSD: 250GB | Placa de vídeo: intel® UHD Graphics 620 | Observação: TAMPA DESGASTADA, | Sistema Operacional: Microsoft Windows 10 Pro;625;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_latitude_3490_core_i7_8550u_memoria_16gb_hd_500gb_tela_14_fhd_sistema_windows_10_pro_2465_1_c7c09622743d76f152344268d48936c6.jpg;servicedesk;2023-06-06 11:00:00.425937;notebooks;47;B41KSY2;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_latitude_3490_core_i7_8550u_memoria_16gb_hd_500gb_tela_14_fhd_sistema_windows_10_pro_2465_2_2d4c7182083f1ef671ebf4d2b82b2c85.jpg;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_latitude_3490_core_i7_8550u_memoria_16gb_hd_500gb_tela_14_fhd_sistema_windows_10_pro_2465_3_7bd19b3454d3490863bf1605dd713f8c.jpg
107;Notebook DELL Inspiron 5457;Fabricante: DELL | Modelo:   Inspiron 5457 | N° série: 8PCSKF2 | Processador: Intel i7-6500U | RAM: 16GB | HD: NONE | SSD: 250GB | Placa de vídeo: NVIDIA GeForce 940MX | Observação: | Sistema Operacional: Microsoft Windows 10 Pro;950;https://cdn.shoppub.io/cdn-cgi/image/w=1000,h=1000,q=80,f=auto/oficinadosbits/media/uploads/produtos/foto/amvvniaa/file.png;servicedesk;2023-06-06 11:00:00.425937;notebooks;63;8PCSKF2;https://cdn.shoppub.io/cdn-cgi/image/w=1000,h=1000,q=80,f=auto/oficinadosbits/media/uploads/produtos/foto/tmylgqlq/file.png;https://cdn.shoppub.io/cdn-cgi/image/w=1000,h=1000,q=80,f=auto/oficinadosbits/media/uploads/produtos/foto/acrsbplr/file.png
108;Notebook DELL Inspiron 5570;Fabricante: DELL | Modelo:   Inspiron 5570 | N° série: H7YMDQ2 | Processador: intel i5-8250U | RAM: 8GB | HD: NONE | SSD: 250GB | Placa de vídeo: AMD Radeon R7 M460 | Observação: | Sistema Operacional: Microsoft Windows 10 Pro;750;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_inspiron_5570_core_i7_8550u_memoria_8gb_hd_1tb_placa_video_amd530_4gb_tela_15_6_fhd_wi_2977_2_ce0cdaadf0bed2eed4e6bf28a6912927.jpg;servicedesk;2023-06-06 11:00:00.425937;notebooks;64;H7YMDQ2;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_inspiron_5570_core_i7_8550u_memoria_8gb_hd_1tb_placa_video_amd530_4gb_tela_15_6_fhd_wi_2977_3_88417351f6f756a69a2335d9fcd0d1c7.jpg;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_inspiron_5570_core_i7_8550u_memoria_8gb_hd_1tb_placa_video_amd530_4gb_tela_15_6_fhd_wi_2977_4_dea3599dbf0990bb9760d5a59f484f62.jpg
109;Notebook DELL Vostro 3583;Fabricante: DELL | Modelo:   Vostro 3583 | N° série: 893CK03 | Processador: intel i5-8265U | RAM: 8GB | HD: NONE | SSD: 250GB | Placa de vídeo: intel® UHD Graphics 620 | Observação: | Sistema Operacional: Microsoft Windows 10 Pro;725;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_vostro_3583_core_i5_8265u_memoria_8gb_ddr4_ssd_256gb_tela_15_6_hd_sistema_windows_10_h_8253_1_595eca628b5907f80c802c10d7d46d0e.jpg;servicedesk;2023-06-06 11:00:00.425937;notebooks;76;893CK03;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_vostro_3583_core_i5_8265u_memoria_8gb_ddr4_ssd_256gb_tela_15_6_hd_sistema_windows_10_h_8253_3_08f797c54796fdc2b874c9ff2208210f.jpg;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_vostro_3583_core_i5_8265u_memoria_8gb_ddr4_ssd_256gb_tela_15_6_hd_sistema_windows_10_h_8253_4_545ab38080c1b498fba795e39e13a2ff.jpg
110;Notebook DELL Inspiron 15 5566;Fabricante: DELL | Modelo:   Inspiron 15 5566 | N° série: 18WJSL2 | Processador: intel i5-7200U | RAM: 8GB | HD: NONE | SSD: 250GB | Placa de vídeo: intel® UHD Graphics 520 | Observação: Carcaça trincada na tampa perto da dobradiça e do outro lado e na quina quebrada (buraco);450;https://laptopmedia.com/wp-content/uploads/2017/07/Dell-Inspiron-15-5566-1.jpg;servicedesk;2023-06-06 11:00:00.425937;notebooks;78;18WJSL2;https://laptopmedia.com/wp-content/uploads/2017/07/Dell-Inspiron-15-5566-2.jpg;https://laptopmedia.com/wp-content/uploads/2017/07/Dell-Inspiron-15-5566-1-1.jpg
111;Notebook DELL Vostro 3583;Fabricante: DELL | Modelo:   Vostro 3583 | N° série: 1DSN813 | Processador: intel i5-8265U | RAM: 8GB | HD: NONE | SSD: 250GB | Placa de vídeo: intel® UHD Graphics 620 | Observação: | Sistema Operacional: Microsoft Windows 10 Pro;725;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_vostro_3583_core_i5_8265u_memoria_8gb_ddr4_ssd_256gb_tela_15_6_hd_sistema_windows_10_h_8253_1_595eca628b5907f80c802c10d7d46d0e.jpg;servicedesk;2023-06-06 11:00:00.425937;notebooks;79;1DSN813;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_vostro_3583_core_i5_8265u_memoria_8gb_ddr4_ssd_256gb_tela_15_6_hd_sistema_windows_10_h_8253_3_08f797c54796fdc2b874c9ff2208210f.jpg;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_vostro_3583_core_i5_8265u_memoria_8gb_ddr4_ssd_256gb_tela_15_6_hd_sistema_windows_10_h_8253_4_545ab38080c1b498fba795e39e13a2ff.jpg
112;Notebook DELL Inspiron 5458;Fabricante: DELL | Modelo:   Inspiron 5458 | N° série: JH38CD2 | Processador: intel i5-7200U | RAM: 8GB | HD: 1TB | SSD: NONE | Placa de vídeo: intel® UHD Graphics 620 | Observação: | Sistema Operacional: Microsoft Windows 10 Pro;725;https://images.tcdn.com.br/img/img_prod/458206/nb_dell_inspiron_5458_i3_5005u_2_0_500gb_8gb_14_w10home_preto_ol_17343_1_20191003145017.jpg;servicedesk;2023-06-06 11:00:00.425937;notebooks;82;JH38CD2;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_inspiron_5458_core_i5_5200u_memoria_4gb_hd_1tb_gravador_dvd_tela_14_lcd_sistema_window_2333_3_61003cb8aeb8a7265e44d0be535630a7.jpg;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_inspiron_5458_core_i5_5200u_memoria_4gb_hd_1tb_gravador_dvd_tela_14_lcd_sistema_window_2333_2_e51cb82ec54eb5d7b5e41277c17db5a3.jpg
113;Notebook DELL Vostro 3583;Fabricante: DELL | Modelo:   Vostro 3583 | N° série: 8919K03 | Processador: intel i5-8265U | RAM: 8GB | HD: NONE | SSD: 250GB | Placa de vídeo: intel® UHD Graphics 620 | Observação: | Sistema Operacional: Microsoft Windows 10 Pro;725;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_vostro_3583_core_i5_8265u_memoria_8gb_ddr4_ssd_256gb_tela_15_6_hd_sistema_windows_10_h_8253_1_595eca628b5907f80c802c10d7d46d0e.jpg;servicedesk;2023-06-06 11:00:00.425937;notebooks;83;8919K03;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_vostro_3583_core_i5_8265u_memoria_8gb_ddr4_ssd_256gb_tela_15_6_hd_sistema_windows_10_h_8253_3_08f797c54796fdc2b874c9ff2208210f.jpg;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_vostro_3583_core_i5_8265u_memoria_8gb_ddr4_ssd_256gb_tela_15_6_hd_sistema_windows_10_h_8253_4_545ab38080c1b498fba795e39e13a2ff.jpg
114;Notebook DELL Inspiron 5458;Fabricante: DELL | Modelo:   Inspiron 5458 | N° série: 1GQS0L2 | Processador: Intel i3-5005U | RAM: 8GB | HD: NONE | SSD: 250GB | Placa de vídeo: intel® UHD Graphics 5500 | Observação: | Sistema Operacional: Microsoft Windows 10 Pro;600;https://images.tcdn.com.br/img/img_prod/458206/nb_dell_inspiron_5458_i3_5005u_2_0_500gb_8gb_14_w10home_preto_ol_17343_1_20191003145017.jpg;servicedesk;2023-06-06 11:00:00.425937;notebooks;84;1GQS0L2;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_inspiron_5458_core_i5_5200u_memoria_4gb_hd_1tb_gravador_dvd_tela_14_lcd_sistema_window_2333_3_61003cb8aeb8a7265e44d0be535630a7.jpg;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_inspiron_5458_core_i5_5200u_memoria_4gb_hd_1tb_gravador_dvd_tela_14_lcd_sistema_window_2333_2_e51cb82ec54eb5d7b5e41277c17db5a3.jpg
115;Notebook DELL Inspiron 5570;Fabricante: DELL | Modelo:   Inspiron 5570 | N° série: JMKFSL2 | Processador: Intel i5-8250U | RAM: 8GB | HD: NONE | SSD: 250GB | Placa de vídeo: AMD Radeon R7 M460 | Observação: | Sistema Operacional: Microsoft Windows 10 Pro;750;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_inspiron_5570_core_i7_8550u_memoria_8gb_hd_1tb_placa_video_amd530_4gb_tela_15_6_fhd_wi_2977_2_ce0cdaadf0bed2eed4e6bf28a6912927.jpg;servicedesk;2023-06-06 11:00:00.425937;notebooks;85;JMKFSL2;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_inspiron_5570_core_i7_8550u_memoria_8gb_hd_1tb_placa_video_amd530_4gb_tela_15_6_fhd_wi_2977_3_88417351f6f756a69a2335d9fcd0d1c7.jpg;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_inspiron_5570_core_i7_8550u_memoria_8gb_hd_1tb_placa_video_amd530_4gb_tela_15_6_fhd_wi_2977_4_dea3599dbf0990bb9760d5a59f484f62.jpg
116;Notebook DELL Vostro 3583;Fabricante: DELL | Modelo:   Vostro 3583 | N° série: 1DSR813 | Processador: intel i5-8265U | RAM: 8GB | HD: NONE | SSD: 250GB | Placa de vídeo: intel® UHD Graphics 620 | Observação: | Sistema Operacional: Microsoft Windows 10 Pro;725;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_vostro_3583_core_i5_8265u_memoria_8gb_ddr4_ssd_256gb_tela_15_6_hd_sistema_windows_10_h_8253_1_595eca628b5907f80c802c10d7d46d0e.jpg;servicedesk;2023-06-06 11:00:00.425937;notebooks;87;1DSR813;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_vostro_3583_core_i5_8265u_memoria_8gb_ddr4_ssd_256gb_tela_15_6_hd_sistema_windows_10_h_8253_3_08f797c54796fdc2b874c9ff2208210f.jpg;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_vostro_3583_core_i5_8265u_memoria_8gb_ddr4_ssd_256gb_tela_15_6_hd_sistema_windows_10_h_8253_4_545ab38080c1b498fba795e39e13a2ff.jpg
117;Notebook DELL Inspiron 5570;Fabricante: DELL | Modelo:   Inspiron 5570 | N° série: H7YKDQ2 | Processador: Intel i5-8250U | RAM: 8GB | HD: NONE | SSD: 250GB | Placa de vídeo: AMD Radeon R7 M460 | Observação: | Sistema Operacional: Microsoft Windows 10 Pro;750;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_inspiron_5570_core_i7_8550u_memoria_8gb_hd_1tb_placa_video_amd530_4gb_tela_15_6_fhd_wi_2977_2_ce0cdaadf0bed2eed4e6bf28a6912927.jpg;servicedesk;2023-06-06 11:00:00.425937;notebooks;88;H7YKDQ2;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_inspiron_5570_core_i7_8550u_memoria_8gb_hd_1tb_placa_video_amd530_4gb_tela_15_6_fhd_wi_2977_3_88417351f6f756a69a2335d9fcd0d1c7.jpg;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_inspiron_5570_core_i7_8550u_memoria_8gb_hd_1tb_placa_video_amd530_4gb_tela_15_6_fhd_wi_2977_4_dea3599dbf0990bb9760d5a59f484f62.jpg
118;Notebook DELL Vostro 3583;Fabricante: DELL | Modelo:   Vostro 3583 | N° série: B52NSY2 | Processador: intel i5-8265U | RAM: 8GB | HD: NONE | SSD: 250GB | Placa de vídeo: intel® UHD Graphics 620 | Observação: | Sistema Operacional: Microsoft Windows 10 Pro;725;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_vostro_3583_core_i5_8265u_memoria_8gb_ddr4_ssd_256gb_tela_15_6_hd_sistema_windows_10_h_8253_1_595eca628b5907f80c802c10d7d46d0e.jpg;servicedesk;2023-06-06 11:00:00.425937;notebooks;90;B52NSY2;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_vostro_3583_core_i5_8265u_memoria_8gb_ddr4_ssd_256gb_tela_15_6_hd_sistema_windows_10_h_8253_3_08f797c54796fdc2b874c9ff2208210f.jpg;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_vostro_3583_core_i5_8265u_memoria_8gb_ddr4_ssd_256gb_tela_15_6_hd_sistema_windows_10_h_8253_4_545ab38080c1b498fba795e39e13a2ff.jpg
119;Notebook DELL Inspiron 14 5468;Fabricante: DELL | Modelo:   Inspiron 14 5468 | N° série: JH1PLG2 | Processador: Intel i3-6006U | RAM: 8GB | HD: NONE | SSD: 240GB | Placa de vídeo: Intel(R) Skylake Graphics | Observação: | Sistema Operacional: Microsoft Windows 10 Pro;625;https://d30u9wim1barf6.cloudfront.net/Custom/Content/Products/98/79/987957_notebook-dell-inspiron-14-5468-14-hd-i5-7200u-1tb-4gb-win10-h-pretonac003669_z1_637176981367673783.jpg;servicedesk;2023-06-06 11:00:00.425937;notebooks;91;JH1PLG2;https://d30u9wim1barf6.cloudfront.net/Custom/Content/Products/98/79/987957_notebook-dell-inspiron-14-5468-14-hd-i5-7200u-1tb-4gb-win10-h-pretonac003669_z2_637176981375598840.jpg;https://d30u9wim1barf6.cloudfront.net/Custom/Content/Products/98/79/987957_notebook-dell-inspiron-14-5468-14-hd-i5-7200u-1tb-4gb-win10-h-pretonac003669_z1_637176981366723846.jpg
120;Notebook LENOVO 80R0;Fabricante: LENOVO | Modelo:   80R0 | N° série: PE01YH61 | Processador: Intel I7-5500u | RAM: 16GB | HD: NONE | SSD: NONE | Placa de vídeo: AMD radeon R5 M230 | Observação: Dobradiça com defeito;250;https://www.lenovo.com/medias/lenovo-laptop-g50-front-2.jpg?context=bWFzdGVyfGltYWdlc3wxMjI2NDd8aW1hZ2UvanBlZ3xpbWFnZXMvaDEzL2g4Mi85NTAwODQyNzU0MDc4LmpwZ3xiZjc4ZmJmNDgwZDMzN2EwOTFhNzhiZTE1YmRhZThlMWNiOTNjNmQ1NWJhYjViYTYyNjA0MjE1NzRhOGU2MTA5;servicedesk;2023-06-06 11:00:00.425937;notebooks;93;PE01YH61;https://www.lenovo.com/medias/laptop-lenovo-g50-left-open-view-main.png?context=bWFzdGVyfGltYWdlc3w4NjcxMnxpbWFnZS9wbmd8aW1hZ2VzL2gzMS9oMzAvOTUwMDg0MzQwOTQzOC5wbmd8YWY4ZjQ2OWQ2NmVlMDFlNjVkZTkwY2QyODk1ZjU5NDc1OWQ0NDY5N2ExMTk0ZTQ5NDcxN2U5YTEwOGY1Mjg5Mw;https://www.lenovo.com/medias/lenovo-laptop-g50-side-detail-9.jpg?context=bWFzdGVyfGltYWdlc3wxMDQ3NTB8aW1hZ2UvanBlZ3xpbWFnZXMvaDlmL2gyZi85NTAwODQzNTczMjc4LmpwZ3w2ODVlNWMyYWQzNDhlNTdlNTZlOTNmMWU1OWFkYzM3Zjg0ZmIwOTZjZTYzOGJiYTZkNmJhNjc5MTc1YzdmOTQ3
121;Notebook DELL Inspiron 15 5570;"Fabricante: DELL | Modelo:   Inspiron 15 5570 | N° série: 9CSY9X2 | Processador: intel i5-8250U | RAM: 8GB | HD: NONE | SSD: 250GB | Placa de vídeo: AMD Radeon R7 M460 | Observação: Está faltando tecla ""vírgula"" do teclado numerico ";600;https://a-static.mlcdn.com.br/800x560/notebook-dell-inspiron-i15-5570-b40c-intel-core-i7-8gb-2tb-led-156-full-hd-radeon-4gb-windows-10/magazineluiza/220922600/82c4e106715fec4b6104f6ebf206a564.jpg;servicedesk;2023-06-06 11:00:00.425937;notebooks;96;9CSY9X2;https://a-static.mlcdn.com.br/800x560/notebook-dell-inspiron-i15-5570-b40c-intel-core-i7-8gb-2tb-led-156-full-hd-radeon-4gb-windows-10/magazineluiza/220922600/c13e0e997d3caafc280742cc6e398b33.jpg;https://a-static.mlcdn.com.br/800x560/notebook-dell-inspiron-i15-5570-b40c-intel-core-i7-8gb-2tb-led-156-full-hd-radeon-4gb-windows-10/magazineluiza/220922600/dc15adfadb27904c1868ca7acf93facc.jpg
122;Notebook DELL Vostro 14 3468;Fabricante: DELL | Modelo:   Vostro 14 3468 | N° série: 11B0FN2 | Processador: intel i5-7200U | RAM: 8GB | HD: NONE | SSD: 250GB | Placa de vídeo: intel® UHD Graphics 620 | Observação: | Sistema Operacional: Microsoft Windows 10 Pro;725;https://images.tcdn.com.br/img/img_prod/458206/nb_dell_vostro_3468_core_i3_6006u_2_0ghz_500gb_4gb_dvd_14_dvd_win10pro_15854_2_20180806094702.jpg;servicedesk;2023-06-06 11:00:00.425937;notebooks;97;11B0FN2;https://images.tcdn.com.br/img/img_prod/458206/nb_dell_vostro_3468_core_i3_6006u_2_0ghz_500gb_4gb_dvd_14_dvd_win10pro_15854_1_20180806094702.jpg;https://images.tcdn.com.br/img/img_prod/458206/nb_dell_vostro_3468_core_i3_6006u_2_0ghz_500gb_4gb_dvd_14_dvd_win10pro_15854_3_20180806094703.jpg
123;Desktop DELL D13S002;Fabricante: DELL | Modelo:   D13S002 | N° série: 9231FN2 | Processador: intel i7 7°G | RAM: 16GB | HD:  | SSD: 240GB | Placa de vídeo: DELL 45D2Y | Observação: Nenhuma;550;https://www.hardware-corner.net/wp-content/uploads/compare/Dell_Inspiron_3470.jpg;servicedesk;2023-06-06 11:00:00.425937;notebooks;113;9231FN2;https://www.hardware-corner.net/wp-content/uploads/compare/Dell_Inspiron_3470.jpg;https://www.hardware-corner.net/wp-content/uploads/compare/Dell_Inspiron_3470.jpg
124;Desktop DELL D13S002;Fabricante: DELL | Modelo:   D13S002 | N° série: 407WK A00 | Processador: intel i5 7 | RAM: 8GB | HD: 480GB | SSD: NONE | Placa de vídeo: DELL 45D2Y | Observação: Nenhuma;550;https://www.hardware-corner.net/wp-content/uploads/compare/Dell_Inspiron_3470.jpg;servicedesk;2023-06-06 11:00:00.425937;notebooks;136;407WK A00;https://www.hardware-corner.net/wp-content/uploads/compare/Dell_Inspiron_3470.jpg;https://www.hardware-corner.net/wp-content/uploads/compare/Dell_Inspiron_3470.jpg
125;Notebook LENOVO 80R0;Fabricante: LENOVO | Modelo:   80R0 | N° série: PE01Y8MS | Processador: Intel I7-5500u | RAM: 16GB | HD: 1TB | SSD: NONE | Placa de vídeo: AMD radeon R5 M230 | Observação: Dobradiça quebrada;250;https://www.lenovo.com/medias/lenovo-laptop-g50-front-2.jpg?context=bWFzdGVyfGltYWdlc3wxMjI2NDd8aW1hZ2UvanBlZ3xpbWFnZXMvaDEzL2g4Mi85NTAwODQyNzU0MDc4LmpwZ3xiZjc4ZmJmNDgwZDMzN2EwOTFhNzhiZTE1YmRhZThlMWNiOTNjNmQ1NWJhYjViYTYyNjA0MjE1NzRhOGU2MTA5;servicedesk;2023-06-06 11:00:00.425937;notebooks;149;PE01Y8MS;https://www.lenovo.com/medias/laptop-lenovo-g50-left-open-view-main.png?context=bWFzdGVyfGltYWdlc3w4NjcxMnxpbWFnZS9wbmd8aW1hZ2VzL2gzMS9oMzAvOTUwMDg0MzQwOTQzOC5wbmd8YWY4ZjQ2OWQ2NmVlMDFlNjVkZTkwY2QyODk1ZjU5NDc1OWQ0NDY5N2ExMTk0ZTQ5NDcxN2U5YTEwOGY1Mjg5Mw;https://www.lenovo.com/medias/lenovo-laptop-g50-side-detail-9.jpg?context=bWFzdGVyfGltYWdlc3wxMDQ3NTB8aW1hZ2UvanBlZ3xpbWFnZXMvaDlmL2gyZi85NTAwODQzNTczMjc4LmpwZ3w2ODVlNWMyYWQzNDhlNTdlNTZlOTNmMWU1OWFkYzM3Zjg0ZmIwOTZjZTYzOGJiYTZkNmJhNjc5MTc1YzdmOTQ3
